구분,소유구분,LEVEL1,값,년(Annual),증감,증감율,구성비,누계,누계구성비
합계,합계,면적,100431849363.5,2021,100431849363.5,100431849363.5,0,0,0
합계,합계,지번수,39367416,2021,39367416,39367416,0,0,0
합계,개인,면적,50475525377.6,2021,50475525377.6,50475525377.6,0,0,0
합계,개인,지번수,24938626,2021,24938626,24938626,0,0,0
합계,국유지,면적,25504514772.3,2021,25504514772.3,25504514772.3,0,0,0
합계,국유지,지번수,5973014,2021,5973014,5973014,0,0,0
합계,도유지,면적,2871370752.8,2021,2871370752.8,2871370752.8,0,0,0
합계,도유지,지번수,1191559,2021,1191559,1191559,0,0,0
합계,군유지,면적,5489973364,2021,5489973364,5489973364,0,0,0
합계,군유지,지번수,3997159,2021,3997159,3997159,0,0,0
합계,법인,면적,7365739997.5,2021,7365739997.5,7365739997.5,0,0,0
합계,법인,지번수,2211118,2021,2211118,2211118,0,0,0
합계,종중,면적,6588185108.9,2021,6588185108.9,6588185108.9,0,0,0
합계,종중,지번수,666230,2021,666230,666230,0,0,0
합계,종교단체,면적,1087407839.1,2021,1087407839.1,1087407839.1,0,0,0
합계,종교단체,지번수,112495,2021,112495,112495,0,0,0
합계,기타단체,면적,739613618.9,2021,739613618.9,739613618.9,0,0,0
합계,기타단체,지번수,155371,2021,155371,155371,0,0,0
합계,기타,면적,309518532.4,2021,309518532.4,309518532.4,0,0,0
합계,기타,지번수,121844,2021,121844,121844,0,0,0
서울특별시,합계,면적,605243961.2,2021,605243961.2,605243961.2,0,0,0
서울특별시,합계,지번수,922270,2021,922270,922270,0,0,0
서울특별시,개인,면적,217239885.9,2021,217239885.9,217239885.9,0,0,0
서울특별시,개인,지번수,633637,2021,633637,633637,0,0,0
서울특별시,국유지,면적,142716596.8,2021,142716596.8,142716596.8,0,0,0
서울특별시,국유지,지번수,61334,2021,61334,61334,0,0,0
서울특별시,도유지,면적,101573078.8,2021,101573078.8,101573078.8,0,0,0
서울특별시,도유지,지번수,56586,2021,56586,56586,0,0,0
서울특별시,군유지,면적,43408772.7,2021,43408772.7,43408772.7,0,0,0
서울특별시,군유지,지번수,73733,2021,73733,73733,0,0,0
서울특별시,법인,면적,86433123.7,2021,86433123.7,86433123.7,0,0,0
서울특별시,법인,지번수,83403,2021,83403,83403,0,0,0
서울특별시,종중,면적,5593882.7,2021,5593882.7,5593882.7,0,0,0
서울특별시,종중,지번수,1345,2021,1345,1345,0,0,0
서울특별시,종교단체,면적,4498250.4,2021,4498250.4,4498250.4,0,0,0
서울특별시,종교단체,지번수,5937,2021,5937,5937,0,0,0
서울특별시,기타단체,면적,1652799.9,2021,1652799.9,1652799.9,0,0,0
서울특별시,기타단체,지번수,2152,2021,2152,2152,0,0,0
서울특별시,기타,면적,2127570.3,2021,2127570.3,2127570.3,0,0,0
서울특별시,기타,지번수,4143,2021,4143,4143,0,0,0
부산광역시,합계,면적,770170750.8,2021,770170750.8,770170750.8,0,0,0
부산광역시,합계,지번수,720723,2021,720723,720723,0,0,0
부산광역시,개인,면적,319736387.1,2021,319736387.1,319736387.1,0,0,0
부산광역시,개인,지번수,433765,2021,433765,433765,0,0,0
부산광역시,국유지,면적,167588251.4,2021,167588251.4,167588251.4,0,0,0
부산광역시,국유지,지번수,98301,2021,98301,98301,0,0,0
부산광역시,도유지,면적,74343447.3,2021,74343447.3,74343447.3,0,0,0
부산광역시,도유지,지번수,36395,2021,36395,36395,0,0,0
부산광역시,군유지,면적,35727601.6,2021,35727601.6,35727601.6,0,0,0
부산광역시,군유지,지번수,65158,2021,65158,65158,0,0,0
부산광역시,법인,면적,142963624.9,2021,142963624.9,142963624.9,0,0,0
부산광역시,법인,지번수,74607,2021,74607,74607,0,0,0
부산광역시,종중,면적,13392695.2,2021,13392695.2,13392695.2,0,0,0
부산광역시,종중,지번수,2824,2021,2824,2824,0,0,0
부산광역시,종교단체,면적,11599579,2021,11599579,11599579,0,0,0
부산광역시,종교단체,지번수,3874,2021,3874,3874,0,0,0
부산광역시,기타단체,면적,3105403.2,2021,3105403.2,3105403.2,0,0,0
부산광역시,기타단체,지번수,4863,2021,4863,4863,0,0,0
부산광역시,기타,면적,1713761.1,2021,1713761.1,1713761.1,0,0,0
부산광역시,기타,지번수,936,2021,936,936,0,0,0
대구광역시,합계,면적,883698218.6,2021,883698218.6,883698218.6,0,0,0
대구광역시,합계,지번수,604683,2021,604683,604683,0,0,0
대구광역시,개인,면적,475651329.2,2021,475651329.2,475651329.2,0,0,0
대구광역시,개인,지번수,371489,2021,371489,371489,0,0,0
대구광역시,국유지,면적,125707761.8,2021,125707761.8,125707761.8,0,0,0
대구광역시,국유지,지번수,79567,2021,79567,79567,0,0,0
대구광역시,도유지,면적,80617831.8,2021,80617831.8,80617831.8,0,0,0
대구광역시,도유지,지번수,29843,2021,29843,29843,0,0,0
대구광역시,군유지,면적,32414491.7,2021,32414491.7,32414491.7,0,0,0
대구광역시,군유지,지번수,58281,2021,58281,58281,0,0,0
대구광역시,법인,면적,75174821.3,2021,75174821.3,75174821.3,0,0,0
대구광역시,법인,지번수,54325,2021,54325,54325,0,0,0
대구광역시,종중,면적,66126104.1,2021,66126104.1,66126104.1,0,0,0
대구광역시,종중,지번수,5784,2021,5784,5784,0,0,0
대구광역시,종교단체,면적,21993415,2021,21993415,21993415,0,0,0
대구광역시,종교단체,지번수,2960,2021,2960,2960,0,0,0
대구광역시,기타단체,면적,2850965,2021,2850965,2850965,0,0,0
대구광역시,기타단체,지번수,1581,2021,1581,1581,0,0,0
대구광역시,기타,면적,3161498.7,2021,3161498.7,3161498.7,0,0,0
대구광역시,기타,지번수,853,2021,853,853,0,0,0
인천광역시,합계,면적,1066465186.9,2021,1066465186.9,1066465186.9,0,0,0
인천광역시,합계,지번수,668256,2021,668256,668256,0,0,0
인천광역시,개인,면적,567660420.7,2021,567660420.7,567660420.7,0,0,0
인천광역시,개인,지번수,444858,2021,444858,444858,0,0,0
인천광역시,국유지,면적,139857702.3,2021,139857702.3,139857702.3,0,0,0
인천광역시,국유지,지번수,65263,2021,65263,65263,0,0,0
인천광역시,도유지,면적,87478671.6,2021,87478671.6,87478671.6,0,0,0
인천광역시,도유지,지번수,34480,2021,34480,34480,0,0,0
인천광역시,군유지,면적,52452937.9,2021,52452937.9,52452937.9,0,0,0
인천광역시,군유지,지번수,51285,2021,51285,51285,0,0,0
인천광역시,법인,면적,199609758.3,2021,199609758.3,199609758.3,0,0,0
인천광역시,법인,지번수,64193,2021,64193,64193,0,0,0
인천광역시,종중,면적,9996971.5,2021,9996971.5,9996971.5,0,0,0
인천광역시,종중,지번수,2284,2021,2284,2284,0,0,0
인천광역시,종교단체,면적,3999998.1,2021,3999998.1,3999998.1,0,0,0
인천광역시,종교단체,지번수,2466,2021,2466,2466,0,0,0
인천광역시,기타단체,면적,2828136.4,2021,2828136.4,2828136.4,0,0,0
인천광역시,기타단체,지번수,1762,2021,1762,1762,0,0,0
인천광역시,기타,면적,2580590.1,2021,2580590.1,2580590.1,0,0,0
인천광역시,기타,지번수,1665,2021,1665,1665,0,0,0
광주광역시,합계,면적,501113181.6,2021,501113181.6,501113181.6,0,0,0
광주광역시,합계,지번수,393008,2021,393008,393008,0,0,0
광주광역시,개인,면적,240526379.3,2021,240526379.3,240526379.3,0,0,0
광주광역시,개인,지번수,247984,2021,247984,247984,0,0,0
광주광역시,국유지,면적,84086664.5,2021,84086664.5,84086664.5,0,0,0
광주광역시,국유지,지번수,53344,2021,53344,53344,0,0,0
광주광역시,도유지,면적,56745397.1,2021,56745397.1,56745397.1,0,0,0
광주광역시,도유지,지번수,25197,2021,25197,25197,0,0,0
광주광역시,군유지,면적,9331034.1,2021,9331034.1,9331034.1,0,0,0
광주광역시,군유지,지번수,20065,2021,20065,20065,0,0,0
광주광역시,법인,면적,57732099.6,2021,57732099.6,57732099.6,0,0,0
광주광역시,법인,지번수,32256,2021,32256,32256,0,0,0
광주광역시,종중,면적,46479239.7,2021,46479239.7,46479239.7,0,0,0
광주광역시,종중,지번수,7648,2021,7648,7648,0,0,0
광주광역시,종교단체,면적,3933718.1,2021,3933718.1,3933718.1,0,0,0
광주광역시,종교단체,지번수,2760,2021,2760,2760,0,0,0
광주광역시,기타단체,면적,1296076.3,2021,1296076.3,1296076.3,0,0,0
광주광역시,기타단체,지번수,3292,2021,3292,3292,0,0,0
광주광역시,기타,면적,982572.9,2021,982572.9,982572.9,0,0,0
광주광역시,기타,지번수,462,2021,462,462,0,0,0
대전광역시,합계,면적,539503587.6,2021,539503587.6,539503587.6,0,0,0
대전광역시,합계,지번수,291704,2021,291704,291704,0,0,0
대전광역시,개인,면적,206557462.3,2021,206557462.3,206557462.3,0,0,0
대전광역시,개인,지번수,176380,2021,176380,176380,0,0,0
대전광역시,국유지,면적,132908508.5,2021,132908508.5,132908508.5,0,0,0
대전광역시,국유지,지번수,45032,2021,45032,45032,0,0,0
