"평가년도","도서관구분","도서관코드","도서관명","면적","시군구","장서수","사서수","대출자수","대출권수"
2014,"LIBTYPE002",2050142012,"태백교육도서관","강원","태백시",87284,"3",153906,64937
2014,"LIBTYPE002",2050142020,"양구교육도서관","강원","양구군",78875,"3",118313,59103
2014,"LIBTYPE002",2050143008,"옥천교육도서관","충북","옥천군",64443,"3",97455,9915
2014,"LIBTYPE002",2050144005,"충청남도보령교육지원청보령도서관","충남","보령시",100835,"2",243204,71919
2014,"LIBTYPE002",2050144014,"충청남도청양교육지원청청양도서관","충남","청양군",77543,"2",131723,60716
2014,"LIBTYPE002",2050145002,"마한교육문화회관함열분관","전북","익산시",81716,"2",56139,9590
2014,"LIBTYPE002",2050145009,"전라북도교육청완주도서관","전북","완주군",57055,"3",33861,11219
2014,"LIBTYPE002",2050145018,"김제교육문화회관","전북","김제시",55340,"4",117590,66746
2014,"LIBTYPE002",2050146008,"구례공공도서관","전남","구례군",58859,"3",74200,40152
2014,"LIBTYPE002",2050146016,"함평공공도서관","전남","함평군",62666,"3",63788,37349
2014,"LIBTYPE002",2050147008,"경상북도교육청 외동도서관","경북","경주시",96232,"4",52163,48576
2014,"LIBTYPE002",2050147016,"경상북도교육청 의성도서관","경북","의성군",80618,"5",117865,38882
2014,"LIBTYPE002",2050147023,"경상북도교육청 성주도서관","경북","성주군",68345,"5",127750,44099
2014,"LIBTYPE002",2050148002,"경상남도교육청 마산도서관","경남","창원시 마산합포구",265014,"10",974916,1844713
2014,"LIBTYPE002",2050148011,"경상남도교육청 진양도서관","경남","진주시",78955,"4",147198,76687
2014,"LIBTYPE002",2050148020,"경상남도교육청 하동도서관","경남","하동군",70722,"4",57076,52878
2014,"LIBTYPE002",2050149004,"동녘도서관","제주","제주시",83178,"3",47494,21493
2014,"LIBTYPE002",2050811001,"서울특별시교육청어린이도서관","서울","종로구",268834,"19",1088944,658145
2014,"LIBTYPE002",2060111002,"성동구립도서관","서울","성동구",189660,"8",1664318,3618305
2014,"LIBTYPE002",2060148013,"통영시립산양도서관","경남","통영시",75143,"1",55253,67846
2014,"LIBTYPE002",2060148020,"화정글샘도서관","경남","김해시",96403,"4",333385,256475
2014,"LIBTYPE002",2060148029,"거제시립장평도서관","경남","거제시",39309,"2",194056,95814
2014,"LIBTYPE002",2060149004,"서귀포시삼매봉도서관","제주","서귀포시",85000,"6",81412,32063
2014,"LIBTYPE002",2060149013,"제주특별자치도 한라도서관","제주","제주시",193791,"5",373735,470669
2014,"LIBTYPE002",2060811009,"개봉어린이도서관","서울","구로구",27622,"0",1055070,93103
